Time,Car,bus,truck,minibus,taxi,Car_e,bus_e,truck_e,minibus_e,taxi_e
"02/14/2021, 20:01:13",13,0,0,1,3,21,0,0,4,2
"02/14/2021, 20:02:13",16,0,1,0,3,20,0,2,0,4
"02/14/2021, 20:03:13",33,0,1,1,8,43,0,3,2,11
"02/14/2021, 20:04:13",25,0,1,0,6,26,0,4,0,10
"02/14/2021, 20:05:13",16,1,0,0,2,25,1,0,0,2
"02/14/2021, 20:06:13",39,0,2,4,7,35,0,2,4,9
"02/14/2021, 20:07:13",35,0,1,4,4,38,0,1,3,8
"02/14/2021, 20:08:13",9,0,0,0,2,19,0,1,0,4
"02/14/2021, 20:09:13",37,0,0,2,2,33,0,0,4,6
"02/14/2021, 20:10:13",51,0,1,4,3,40,0,2,3,6
"02/14/2021, 20:11:13",18,0,0,2,7,17,0,2,2,5
"02/14/2021, 20:12:13",23,0,1,2,10,24,0,0,2,10
"02/14/2021, 20:13:13",38,0,3,0,7,41,0,3,0,11
"02/14/2021, 20:14:13",29,0,2,0,5,30,0,1,0,6
"02/14/2021, 20:15:13",21,0,0,1,3,15,0,1,1,7
"02/14/2021, 20:16:13",36,0,2,0,12,32,0,3,2,10
"02/14/2021, 20:17:13",24,0,4,4,14,31,0,3,2,10
"02/14/2021, 20:18:13",11,0,0,0,3,14,1,1,0,5
"02/14/2021, 20:19:13",18,0,20,0,10,21,0,10,0,6
"02/14/2021, 20:20:13",44,0,2,0,7,33,0,3,2,9
"02/14/2021, 20:21:13",21,1,0,3,4,14,1,1,1,3
"02/14/2021, 20:22:13",15,1,0,1,3,16,1,0,0,3
"02/14/2021, 20:23:13",39,0,5,3,5,37,0,5,0,7
"02/14/2021, 20:24:13",10,1,5,3,8,17,0,1,3,12
"02/14/2021, 20:25:13",25,0,0,0,5,18,0,0,0,7
"02/14/2021, 20:26:13",46,0,4,0,4,37,0,3,1,6
"02/14/2021, 20:27:13",14,0,2,7,8,18,0,3,3,12
"02/14/2021, 20:28:13",6,0,0,0,5,13,0,0,2,7
"02/14/2021, 20:29:13",32,0,1,2,6,35,0,1,3,2
"02/14/2021, 20:30:13",23,0,0,2,8,49,0,0,2,11
"02/14/2021, 20:31:13",17,0,0,1,9,17,0,0,2,7
"02/14/2021, 20:32:13",25,0,2,1,6,25,0,3,0,5
"02/14/2021, 20:33:13",28,0,0,1,12,33,0,1,0,12
"02/14/2021, 20:34:13",24,0,1,1,0,25,0,2,1,3
"02/14/2021, 20:35:13",27,0,3,0,6,13,0,1,0,9
"02/14/2021, 20:36:13",34,0,0,0,6,30,0,0,2,6
"02/14/2021, 20:37:13",23,0,0,0,5,31,0,0,0,10
"02/14/2021, 20:38:13",13,0,2,1,4,14,0,0,1,1
"02/14/2021, 20:39:13",47,1,2,1,9,29,1,2,1,4
"02/14/2021, 20:40:13",26,0,3,7,8,31,0,2,1,9
"02/14/2021, 20:41:13",11,0,0,1,5,21,0,1,4,4
"02/14/2021, 20:42:13",28,0,0,1,11,32,0,1,0,9
"02/14/2021, 20:43:13",41,1,0,0,10,35,2,2,3,7
"02/14/2021, 20:44:13",17,0,0,2,3,17,0,0,2,8
"02/14/2021, 20:45:13",12,0,0,1,3,14,0,1,0,3
"02/14/2021, 20:46:13",27,0,2,0,4,32,0,3,1,13
"02/14/2021, 20:47:13",14,0,2,2,20,21,0,2,1,15
"02/14/2021, 20:48:13",7,0,2,0,3,10,0,2,0,4
"02/14/2021, 20:49:13",28,0,3,0,5,33,0,2,1,11
"02/14/2021, 20:50:13",28,0,0,2,6,27,0,2,2,12
"02/14/2021, 20:51:13",12,0,0,0,4,17,0,1,0,6
"02/14/2021, 20:52:13",23,0,4,2,6,19,0,2,3,3
"02/14/2021, 20:53:13",28,0,0,1,12,29,0,0,1,12
"02/14/2021, 20:54:13",14,0,0,0,5,22,0,0,0,6
"02/14/2021, 20:55:13",15,0,0,5,5,14,0,0,1,6
"02/14/2021, 20:56:13",28,0,0,3,2,29,0,0,3,7
"02/14/2021, 20:57:13",22,0,1,4,6,27,0,2,1,5
"02/14/2021, 20:58:13",11,0,0,0,3,16,0,0,0,3
"02/14/2021, 20:59:13",30,0,0,0,7,25,0,0,0,9
"02/14/2021, 21:00:13",24,0,1,0,4,27,0,2,0,10
"02/14/2021, 21:01:13",0,0,0,0,0,1,0,0,0,0
